iter	RMSE
0	3969.047666
1	3866.442514
2	3771.325003
3	3673.119271
4	3578.879177
5	3488.57367
6	3400.670415
7	3315.202182
8	3232.133711
9	3151.613548
10	3073.597345
11	2994.416599
12	2922.28087
13	2848.880725
14	2776.949469
15	2708.634625
16	2642.941046
17	2578.630608
18	2517.238069
19	2455.712358
20	2397.487408
21	2338.813373
22	2281.68924
23	2225.357005
24	2174.496762
25	2124.163343
26	2076.364978
27	2030.158367
28	1983.549041
29	1938.344828
30	1897.432606
31	1854.950234
32	1813.12895
33	1772.642144
34	1736.234484
35	1698.06768
36	1662.598577
37	1628.352008
38	1593.927138
39	1560.990146
40	1528.615035
41	1495.984596
42	1467.112764
43	1440.076702
44	1411.39715
45	1383.097376
46	1357.953673
47	1332.210121
48	1307.238416
49	1283.587362
50	1260.209242
51	1236.852478
52	1214.673318
53	1193.593563
54	1173.485421
55	1152.686045
56	1133.381054
57	1114.571629
58	1095.917818
59	1079.248073
60	1062.496364
61	1046.923996
62	1029.831805
63	1014.680793
64	998.9624147
65	983.7657101
66	969.565934
67	956.0333627
68	942.9564737
69	929.7222668
70	918.8672471
71	907.9050251
72	896.580166
73	885.6614526
74	876.4512065
75	866.2990483
76	856.9912615
77	847.114171
78	836.7414888
79	828.5248915
80	820.3214229
81	812.4908146
82	804.0344296
83	795.8214927
84	788.2561299
85	781.0757995
86	773.120384
87	766.2197183
88	758.9754702
89	752.9642526
90	746.7539462
91	740.9620291
92	735.1386592
93	729.184381
94	723.5983406
95	717.8050639
96	712.7258096
97	707.9206771
98	702.8313463
99	697.720768
100	693.3195344
101	688.8942172
102	683.7428609
103	679.4066135
104	674.383633
105	670.9746366
106	667.4043436
107	663.7957379
108	660.285009
109	657.170483
110	653.3146346
111	650.2799015
112	646.7495425
113	643.5972813
114	640.34008
115	636.8645426
116	633.4581399
117	630.389507
118	627.6514501
119	625.2216299
120	622.4128326
121	620.0387421
122	617.715327
123	615.8740684
124	613.5745555
125	611.3992665
126	608.0447624
127	606.017676
128	603.7304887
129	601.3743789
130	599.1045342
131	596.3047466
132	594.0375274
133	592.3294722
134	590.0439838
135	588.2963232
136	586.0767796
137	584.2116175
138	582.1600668
139	580.5024159
140	579.3611097
141	578.0253355
142	576.5103398
143	574.5357875
144	572.7997914
145	571.321442
146	569.9735419
147	568.8169693
148	567.4584297
149	565.9603309
150	564.5676557
151	563.1641179
152	561.5265525
153	560.3178363
154	558.9527231
155	557.660239
156	556.1054451
157	555.0142547
158	553.8778334
159	552.1325718
160	550.7076783
161	549.9635651
162	548.7319269
163	547.6733232
164	547.0522855
165	546.246754
166	545.0539511
167	544.2468266
168	543.2712116
169	541.9038584
170	540.8389138
171	539.6832351
172	538.7810886
173	537.5682303
174	536.5544645
175	535.6698122
176	534.6486275
177	533.3657205
178	532.5044009
179	531.707627
180	529.9490678
181	529.0054202
182	528.2419573
183	527.2766921
184	526.5982542
185	525.7395473
186	524.8926758
187	523.6754416
188	522.729144
189	521.6343293
190	520.7390158
191	519.3483174
192	518.6505648
193	518.0869731
194	516.8376364
195	516.3950665
196	515.3965852
197	514.3704657
198	513.8885337
199	513.5146696
200	512.2302668
201	510.9036542
202	509.5222389
203	508.9135619
204	508.3423926
205	507.1002243
