iter	Passed	Remaining
0	80	404295
1	84	210267
2	87	144959
3	90	113419
4	93	93560
5	98	81941
6	101	72522
7	105	65918
8	108	60239
9	114	56904
10	118	53579
11	121	50301
12	123	47512
13	126	45120
14	129	42993
15	131	41062
16	134	39325
17	136	37774
18	138	36334
19	141	35187
20	143	34058
21	146	33076
22	148	32166
23	151	31359
24	153	30557
25	155	29783
26	157	29083
27	160	28452
28	162	27877
29	165	27335
30	168	26974
31	172	26756
32	176	26539
33	179	26182
34	182	25819
35	184	25502
36	187	25164
37	190	24815
38	192	24466
39	194	24135
40	196	23814
41	199	23535
42	202	23330
43	205	23115
44	207	22863
45	210	22633
46	212	22432
47	215	22213
48	217	22003
49	219	21777
50	222	21582
51	224	21387
52	227	21234
53	232	21305
54	236	21224
55	238	21062
56	241	20910
57	243	20779
58	246	20654
59	249	20548
60	253	20503
61	255	20356
62	257	20210
63	260	20082
64	263	19985
65	265	19845
66	267	19722
67	270	19585
68	272	19458
69	274	19348
70	279	19385
71	282	19340
72	285	19262
73	288	19188
74	291	19116
75	293	19027
76	295	18917
77	298	18808
78	301	18767
79	304	18701
80	306	18631
81	312	18746
82	317	18782
83	319	18711
84	322	18642
85	325	18597
86	328	18531
87	331	18484
88	334	18446
89	337	18426
90	342	18479
91	346	18476
92	350	18512
93	355	18536
94	360	18602
95	364	18600
96	367	18594
97	372	18644
98	376	18619
99	380	18624
100	388	18865
101	392	18856
102	400	19041
103	407	19168
104	414	19341
105	417	19298
106	425	19452
107	433	19644
108	442	19859
109	447	19896
110	453	19979
111	459	20040
112	467	20225
113	470	20177
114	474	20157
115	477	20111
116	484	20221
117	494	20458
118	499	20469
119	504	20513
120	511	20614
121	518	20722
122	524	20807
123	531	20906
124	534	20859
125	538	20825
126	541	20771
127	544	20710
128	549	20733
129	555	20800
130	558	20749
131	561	20724
132	565	20683
133	570	20713
134	573	20668
135	577	20651
136	580	20594
137	582	20523
138	585	20484
139	592	20555
140	597	20596
141	601	20562
142	604	20528
143	608	20512
144	611	20487
145	614	20438
146	617	20384
147	619	20320
148	622	20259
149	624	20196
150	628	20197
151	633	20197
152	637	20190
153	640	20143
154	642	20095
155	645	20051
156	648	20016
157	651	19979
158	654	19936
159	657	19883
160	660	19851
161	663	19799
162	665	19745
163	668	19698
164	673	19721
165	677	19728
166	681	19727
167	685	19716
168	689	19697
169	692	19663
170	694	19621
171	697	19582
172	700	19551
173	703	19514
174	706	19478
175	708	19432
176	711	19382
177	714	19367
178	720	19403
179	723	19378
180	726	19343
181	729	19314
182	732	19281
183	735	19260
184	738	19221
185	741	19180
186	747	19240
187	751	19245
188	754	19211
189	757	19188
190	761	19162
191	763	19127
192	768	19148
193	771	19112
194	773	19068
195	776	19020
196	778	18984
197	780	18939
198	783	18900
199	785	18861
200	790	18862
201	796	18918
202	805	19025
203	814	19147
204	820	19199
205	825	19201
206	828	19189
207	835	19245
208	838	19212
209	841	19183
210	845	19191
211	852	19258
212	856	19240
213	859	19212
214	861	19180
215	864	19143
216	866	19100
217	869	19079
218	877	19146
219	880	19123
220	883	19107
221	889	19137
222	894	19156
223	896	19122
224	900	19101
225	905	19127
226	908	19100
227	911	19078
228	915	19081
229	923	19156
230	926	19129
231	929	19106
232	932	19085
233	936	19073
234	940	19067
235	944	19073
236	950	19099
237	957	19155
238	965	19226
239	968	19216
240	972	19206
241	978	19235
242	983	19256
243	986	19236
244	989	19204
245	992	19175
246	995	19152
247	1000	19171
248	1005	19177
249	1009	19179
250	1016	19223
251	1019	19203
252	1022	19193
253	1026	19171
254	1029	19160
255	1037	19229
256	1040	19205
257	1043	19175
258	1045	19140
259	1048	19112
260	1054	19147
261	1059	19160
262	1062	19135
263	1064	19104
264	1068	19083
265	1071	19068
266	1074	19043
267	1076	19013
268	1080	19006
269	1083	18983
270	1087	18985
271	1094	19022
272	1097	19008
273	1101	18990
274	1104	18970
275	1107	18952
276	1111	18950
277	1114	18929
278	1119	18936
279	1123	18936
280	1131	19002
281	1136	19007
282	1141	19023
283	1153	19152
284	1164	19267
285	1172	19317
286	1175	19311
287	1179	19299
288	1187	19363
289	1190	19343
290	1195	19341
291	1199	19347
292	1203	19337
293	1208	19345
294	1217	19413
295	1224	19464
296	1233	19528
297	1240	19565
298	1246	19596
299	1251	19608
300	1257	19636
301	1262	19644
302	1271	19704
303	1281	19794
304	1289	19849
305	1301	19959
306	1313	20079
307	1322	20143
308	1327	20149
309	1337	20241
310	1344	20278
311	1349	20272
312	1358	20343
313	1363	20351
314	1370	20385
315	1375	20392
316	1382	20418
317	1389	20450
318	1392	20430
319	1396	20418
320	1399	20399
321	1402	20376
322	1407	20385
323	1415	20428
324	1422	20462
325	1425	20440
326	1429	20423
327	1434	20439
328	1440	20447
329	1443	20425
330	1446	20400
331	1449	20376
332	1451	20348
333	1460	20406
334	1465	20407
335	1468	20390
336	1471	20366
337	1474	20342
338	1478	20326
339	1482	20319
340	1486	20316
341	1490	20297
342	1493	20280
343	1497	20270
344	1500	20245
345	1505	20250
346	1509	20241
347	1512	20217
348	1515	20191
349	1518	20170
350	1521	20150
351	1524	20133
352	1528	20123
353	1534	20133
354	1538	20135
355	1543	20137
356	1547	20130
357	1553	20137
358	1558	20145
359	1566	20185
360	1571	20190
361	1574	20171
362	1580	20186
363	1584	20177
364	1587	20154
365	1589	20125
366	1593	20113
367	1596	20096
368	1603	20123
369	1607	20115
370	1610	20098
371	1613	20070
372	1616	20057
373	1620	20038
374	1624	20033
375	1628	20021
376	1632	20018
377	1636	20012
378	1640	20005
379	1643	19981
380	1650	20012
381	1655	20010
382	1658	19998
383	1662	19984
384	1665	19966
385	1670	19965
386	1673	19942
387	1675	19919
388	1678	19895
389	1680	19869
390	1687	19889
391	1695	19929
392	1699	19921
393	1704	19922
394	1710	19940
395	1714	19929
396	1720	19950
397	1727	19978
398	1735	20016
399	1742	20039
400	1750	20076
401	1753	20058
402	1758	20057
403	1762	20052
404	1766	20045
405	1770	20034
406	1774	20029
407	1777	20006
408	1785	20047
409	1792	20067
410	1796	20057
411	1800	20045
412	1804	20038
413	1815	20115
414	1820	20108
415	1822	20084
416	1827	20085
417	1831	20073
418	1836	20074
419	1843	20099
420	1849	20115
421	1853	20102
422	1857	20097
423	1867	20158
424	1875	20185
425	1880	20196
426	1887	20219
427	1892	20219
428	1899	20234
429	1903	20229
430	1906	20210
431	1909	20192
432	1913	20184
433	1917	20176
434	1920	20155
435	1928	20185
436	1933	20186
437	1941	20219
438	1947	20233
439	1954	20257
