date,precipitation__mm__day,temp_avg_C,temp_max_C,temp_min_C,humidity_percent,wind_speed_mps,solar_radiation_kwh_m2_day,surface_pressure_kPa,skin_temp_C,specific_humidity_gkg,soil_moisture_top_percent,soil_moisture_root_percent
2019-01-01,0.17,22.94,29.15,18.25,78.2,1.34,3.469,101.82,22.9,13.27,0.32,0.33
2019-01-02,0.03,22.78,29.68,17.76,76.42,1.52,4.0481,101.76,22.99,12.63,0.31,0.32
2019-01-03,1.79,23.21,29.68,18.25,80.97,1.66,2.7706,101.5,23.35,14.2,0.33,0.32
2019-01-04,2.51,23.02,29.98,18.31,81.61,3.06,3.5688,101.25,23.21,13.79,0.33,0.32
2019-01-05,1.24,18.24,23.47,11.15,75.8,3.12,3.4615,101.42,18.7,9.67,0.37,0.33
2019-01-06,0.0,15.12,23.85,8.63,73.92,1.74,4.5072,101.82,15.7,7.28,0.32,0.32
2019-01-07,0.0,18.97,27.23,12.58,75.8,1.82,4.133,101.93,18.99,9.91,0.31,0.32
2019-01-08,0.0,20.26,26.84,15.61,67.87,1.04,3.8974,101.84,19.64,9.45,0.3,0.32
2019-01-09,0.0,17.62,24.93,11.3,71.63,2.8,3.419,101.62,17.89,8.66,0.3,0.32
2019-01-10,0.0,10.72,17.57,5.69,53.23,2.72,4.4988,101.65,11.27,3.96,0.29,0.32
2019-01-11,0.01,15.2,24.37,6.85,72.11,2.63,3.9965,101.8,15.67,7.29,0.29,0.31
2019-01-12,0.01,19.11,26.67,13.19,68.07,2.46,3.5633,101.91,19.1,8.76,0.29,0.31
2019-01-13,0.06,20.26,28.45,14.13,76.98,1.63,4.0843,101.75,20.63,10.77,0.29,0.31
2019-01-14,0.05,16.78,23.09,10.59,74.91,2.19,4.2842,101.8,17.48,8.54,0.28,0.31
2019-01-15,0.0,12.06,18.34,8.11,72.54,2.68,3.4166,101.9,12.95,5.99,0.28,0.31
2019-01-16,0.0,11.71,19.68,5.82,68.54,2.37,3.0264,102.01,12.26,5.32,0.28,0.31
2019-01-17,0.01,14.59,25.0,6.16,66.09,1.61,4.5446,101.96,14.99,6.23,0.28,0.31
2019-01-18,0.05,17.73,26.4,10.81,65.92,1.08,4.4801,101.74,17.89,7.69,0.28,0.3
2019-01-19,0.0,18.89,26.85,12.49,70.78,2.4,4.1575,101.33,18.7,9.14,0.28,0.3
2019-01-20,5.24,15.7,19.15,7.48,76.08,5.16,3.2604,101.18,15.83,8.63,0.37,0.31
2019-01-21,0.0,9.92,19.04,2.81,68.43,2.89,4.8893,102.24,10.68,4.77,0.32,0.31
2019-01-22,0.04,17.55,24.24,8.95,68.31,4.05,3.936,102.4,17.59,8.0,0.29,0.31
2019-01-23,0.43,21.18,26.7,17.09,68.2,4.22,3.5741,101.87,21.2,10.35,0.29,0.31
2019-01-24,12.55,20.44,23.97,15.69,87.74,4.29,2.2961,101.24,20.31,13.17,0.42,0.32
2019-01-25,0.08,13.2,18.79,9.52,56.81,3.33,4.8509,101.87,13.97,5.1,0.36,0.32
2019-01-26,6.7,12.55,18.04,8.34,72.58,2.9,2.1998,101.81,12.74,6.54,0.38,0.33
2019-01-27,67.46,13.92,16.69,9.48,93.64,5.23,0.6374,100.91,13.79,9.34,0.74,0.4
2019-01-28,2.05,9.85,15.31,5.82,83.83,3.37,2.8236,101.29,10.36,6.2,0.56,0.45
2019-01-29,0.0,12.24,19.53,5.32,73.24,1.67,4.8077,101.41,12.54,6.17,0.49,0.43
2019-01-30,0.05,12.79,17.88,8.19,74.96,2.54,2.9213,101.78,13.2,6.82,0.48,0.42
