datetime_utc,PRECTOTCORR,RH2M,T2M,WS2M
2025010100,1.44,84.95,24.92,3.73
2025010101,0.95,85.92,24.74,3.77
2025010102,0.92,86.83,24.54,3.74
2025010103,0.89,87.57,24.3,3.73
2025010104,0.38,88.67,24.01,3.74
2025010105,0.38,89.99,23.7,3.71
2025010106,0.41,91.29,23.38,3.69
2025010107,0.36,91.54,23.13,3.73
2025010108,0.36,91.85,22.88,3.83
2025010109,0.43,92.52,22.63,3.96
2025010110,0.36,92.85,22.41,3.91
2025010111,0.42,92.54,22.22,3.69
2025010112,0.09,91.35,22.25,3.42
2025010113,0.04,88.94,22.7,3.4
2025010114,0.01,85.78,23.0,3.25
2025010115,0.0,80.11,23.63,3.17
2025010116,0.0,75.2,24.2,2.96
2025010117,0.0,71.66,24.55,2.73
2025010118,0.0,69.12,24.76,2.58
2025010119,0.0,67.47,24.91,2.56
2025010120,0.0,66.74,25.03,2.8
2025010121,0.0,67.56,25.02,3.05
2025010122,0.0,69.35,24.55,3.17
2025010123,0.0,68.74,24.43,3.28
2025010200,0.0,68.88,24.28,3.37
2025010201,0.0,70.14,24.04,3.43
2025010202,0.0,72.47,23.72,3.33
2025010203,0.0,74.36,23.41,3.16
2025010204,0.0,75.55,23.16,3.09
2025010205,0.0,77.1,22.87,3.23
2025010206,0.0,78.83,22.6,3.65
2025010207,0.0,79.83,22.39,4.2
2025010208,0.0,79.72,22.17,4.6
2025010209,0.0,79.03,21.84,4.79
2025010210,0.0,76.75,21.61,4.83
2025010211,0.0,74.69,21.56,4.82
2025010212,0.0,73.13,21.76,4.81
2025010213,0.0,70.64,22.42,4.83
2025010214,0.0,67.86,22.85,4.84
2025010215,0.0,65.3,23.26,4.72
2025010216,0.0,64.1,23.53,4.51
2025010217,0.0,63.55,23.63,4.32
2025010218,0.0,63.26,23.68,4.2
2025010219,0.0,63.28,23.67,4.21
2025010220,0.0,64.02,23.58,4.35
2025010221,0.0,65.91,23.33,4.54
2025010222,0.0,68.54,22.76,4.82
2025010223,0.0,69.74,22.54,5.09
2025010300,0.0,70.15,22.41,4.88
2025010301,0.0,69.98,22.26,4.46
2025010302,0.0,69.42,22.18,4.15
2025010303,0.0,69.58,22.07,3.92
2025010304,0.0,69.53,22.02,3.59
2025010305,0.0,69.2,21.99,3.18
2025010306,0.0,68.8,21.96,2.92
2025010307,0.01,68.4,21.93,2.72
2025010308,0.02,68.06,21.89,2.5
2025010309,0.04,67.93,21.76,2.32
2025010310,0.09,68.05,21.59,2.27
2025010311,0.07,68.06,21.49,2.24
2025010312,0.03,68.74,21.46,2.26
2025010313,0.02,68.09,21.85,2.51
2025010314,0.01,67.0,21.99,2.47
2025010315,0.01,64.57,22.4,2.1
2025010316,0.01,62.74,22.8,1.94
2025010317,0.01,61.91,23.08,2.12
2025010318,0.0,60.23,23.24,2.06
2025010319,0.0,57.92,23.33,1.8
2025010320,0.0,56.46,23.42,2.0
2025010321,0.01,57.79,23.3,2.67
2025010322,0.01,60.47,22.66,3.6
2025010323,0.0,60.83,22.3,4.47
2025010400,0.0,60.37,21.94,4.77
2025010401,0.0,59.58,21.48,4.79
2025010402,0.0,59.38,20.99,5.07
2025010403,0.0,60.28,20.42,5.55
2025010404,0.0,62.01,19.74,5.91
2025010405,0.0,64.31,19.02,6.28
2025010406,0.0,66.44,18.39,6.74
2025010407,0.0,68.26,17.87,7.16
2025010408,0.0,70.52,17.5,7.29
2025010409,0.0,73.38,17.32,7.26
2025010410,0.01,76.76,17.24,7.44
2025010411,0.0,79.79,17.14,7.61
2025010412,0.0,80.1,17.19,7.59
2025010413,0.0,76.86,17.69,7.49
2025010414,0.0,73.12,18.39,7.22
2025010415,0.0,69.56,19.29,7.09
2025010416,0.0,67.5,20.13,6.96
2025010417,0.0,66.69,20.75,6.62
2025010418,0.0,66.18,21.18,6.15
2025010419,0.0,65.53,21.44,5.84
2025010420,0.0,65.45,21.49,5.77
2025010421,0.0,66.51,21.23,5.73
2025010422,0.0,68.99,20.58,5.66
2025010423,0.0,70.01,20.26,5.82
2025010500,0.0,70.45,20.17,5.73
2025010501,0.0,70.46,20.13,5.29
2025010502,0.0,69.89,20.2,5.02
2025010503,0.0,69.35,20.29,5.08
2025010504,0.0,68.49,20.34,4.93
2025010505,0.0,68.21,20.33,4.79
2025010506,0.0,68.27,20.32,4.83
2025010507,0.0,68.57,20.29,4.9
2025010508,0.0,68.86,20.26,4.92
2025010509,0.0,68.95,20.22,4.75
2025010510,0.0,68.74,20.21,4.52
2025010511,0.0,68.53,20.27,4.39
2025010512,0.0,68.16,20.53,4.35
2025010513,0.0,66.59,21.44,4.61
2025010514,0.0,64.77,21.84,4.96
2025010515,0.0,64.37,22.13,5.06
2025010516,0.0,64.48,22.32,5.12
2025010517,0.0,64.46,22.4,4.98
2025010518,0.0,64.5,22.37,4.87
2025010519,0.0,64.58,22.29,4.68
2025010520,0.0,64.94,22.18,4.53
2025010521,0.0,66.34,21.95,4.53
2025010522,0.0,68.4,21.48,4.48
2025010523,0.0,69.23,21.32,4.62
2025010600,0.0,70.24,21.3,4.85
2025010601,0.0,71.36,21.28,5.09
2025010602,0.0,71.99,21.35,5.21
2025010603,0.0,72.63,21.38,5.31
2025010604,0.0,73.39,21.37,5.39
2025010605,0.0,74.16,21.37,5.41
2025010606,0.0,74.87,21.37,5.29
2025010607,0.0,75.29,21.46,5.14
2025010608,0.0,75.33,21.61,5.04
2025010609,0.06,75.3,21.74,4.9
2025010610,0.09,76.0,21.77,4.74
2025010611,0.22,76.8,21.84,4.69
2025010612,0.24,76.78,22.02,4.89
2025010613,0.25,76.03,22.54,5.26
2025010614,0.3,75.52,22.92,5.54
2025010615,0.32,74.89,23.28,5.73
2025010616,0.54,74.53,23.63,6.06
2025010617,0.4,74.41,23.83,6.52
2025010618,0.29,73.97,23.95,6.74
2025010619,0.35,73.19,24.1,6.72
2025010620,0.31,73.07,24.1,6.58
2025010621,0.19,74.14,23.93,6.25
2025010622,0.03,77.21,23.51,5.84
2025010623,0.01,80.37,23.2,5.59
2025010700,0.0,82.19,23.13,5.65
2025010701,0.0,83.63,23.13,5.89
2025010702,0.0,84.88,23.13,6.03
2025010703,0.01,86.47,23.04,6.32
2025010704,0.05,88.37,22.85,6.78
2025010705,1.02,90.69,22.64,6.96
2025010706,8.76,91.58,22.5,7.13
2025010707,5.03,91.48,21.82,7.39
2025010708,2.54,87.96,20.2,8.08
2025010709,0.62,86.44,18.57,8.2
2025010710,0.06,86.42,17.6,8.32
2025010711,0.03,86.54,16.86,8.35
2025010712,0.01,85.27,16.05,8.26
2025010713,0.0,82.35,15.41,7.92
2025010714,0.0,79.05,15.18,7.39
2025010715,0.0,75.48,15.36,6.94
2025010716,0.0,72.42,15.71,6.54
2025010717,0.0,69.52,16.2,6.12
2025010718,0.0,67.99,16.62,5.74
2025010719,0.0,67.5,16.93,5.47
2025010720,0.0,67.99,17.11,5.3
2025010721,0.0,70.45,17.07,5.51
2025010722,0.0,74.94,16.65,5.53
2025010723,0.0,78.31,16.48,5.65
