datetime_utc,ALLSKY_SFC_SW_DWN,GWETROOT,GWETTOP,PRECTOTCORR,PS,QV2M,RH2M,T2M,TS,WS2M
2023010100,0.0,0.39,0.43,0.07,101.61,14.31,85.55,22.39,20.68,0.98
2023010101,0.0,0.39,0.43,0.09,101.62,14.41,90.85,21.52,20.19,0.99
2023010102,0.0,0.39,0.43,0.13,101.63,14.59,95.72,20.87,19.89,1.03
2023010103,0.0,0.39,0.43,0.11,101.62,14.77,99.06,20.51,19.75,1.12
2023010104,0.0,0.39,0.43,0.1,101.6,14.89,100.0,20.25,19.61,1.16
2023010105,0.0,0.39,0.43,0.14,101.59,14.86,100.0,19.93,19.3,1.08
2023010106,0.0,0.39,0.43,0.13,101.59,14.71,100.0,19.66,19.0,1.0
2023010107,0.0,0.39,0.44,0.12,101.59,14.55,100.0,19.46,18.78,0.93
2023010108,0.0,0.39,0.44,0.17,101.59,14.44,100.0,19.43,18.8,0.9
2023010109,0.0,0.39,0.44,0.27,101.6,14.36,100.0,19.39,18.75,0.86
2023010110,0.0,0.39,0.44,0.23,101.64,14.22,100.0,19.26,18.52,0.8
2023010111,0.0,0.39,0.44,0.2,101.7,14.07,100.0,19.15,18.24,0.77
2023010112,14.38,0.39,0.44,0.24,101.77,13.91,100.0,19.33,18.41,0.74
2023010113,102.95,0.39,0.44,0.17,101.83,14.4,95.67,20.7,20.84,0.66
2023010114,207.68,0.39,0.44,0.13,101.87,14.63,91.05,21.77,22.74,0.66
2023010115,300.3,0.39,0.44,0.03,101.88,14.75,82.25,23.58,25.05,0.61
2023010116,398.05,0.39,0.44,0.01,101.82,13.97,68.87,25.64,28.2,0.71
2023010117,451.58,0.39,0.43,0.0,101.74,13.24,60.14,27.02,29.26,0.96
2023010118,458.75,0.39,0.43,0.0,101.67,13.09,59.21,27.08,28.27,1.02
2023010119,415.33,0.39,0.43,0.0,101.64,13.03,59.8,26.83,27.21,1.0
2023010120,289.77,0.39,0.43,0.01,101.63,13.41,63.1,26.4,26.39,0.82
2023010121,145.25,0.39,0.43,0.01,101.65,14.64,73.58,25.28,24.26,0.62
2023010122,17.33,0.39,0.43,0.01,101.68,13.58,75.9,23.52,21.7,0.8
2023010123,0.0,0.39,0.43,0.01,101.72,13.13,78.78,22.36,21.02,0.88
2023010200,0.0,0.39,0.43,0.01,101.77,13.17,82.76,21.61,20.66,0.96
2023010201,0.0,0.39,0.43,0.02,101.8,13.41,86.64,21.16,20.38,1.16
2023010202,0.0,0.39,0.43,0.05,101.83,13.92,92.28,20.74,20.01,1.31
2023010203,0.0,0.39,0.43,0.06,101.86,14.48,98.63,20.3,19.61,1.28
2023010204,0.0,0.39,0.43,0.12,101.87,14.9,100.0,19.95,19.25,1.16
2023010205,0.0,0.39,0.43,0.13,101.85,15.1,100.0,19.67,18.85,1.08
2023010206,0.0,0.39,0.43,0.11,101.82,15.17,100.0,19.48,18.56,1.07
2023010207,0.0,0.39,0.44,0.11,101.79,15.15,100.0,19.38,18.39,1.04
2023010208,0.0,0.39,0.44,0.11,101.8,15.05,100.0,19.21,18.07,1.0
2023010209,0.0,0.39,0.44,0.13,101.79,14.86,100.0,18.97,17.72,0.99
2023010210,0.0,0.39,0.44,0.15,101.82,14.6,100.0,18.66,17.28,1.0
2023010211,0.0,0.39,0.44,0.16,101.87,14.33,100.0,18.34,16.99,1.02
2023010212,19.25,0.39,0.44,0.2,101.92,14.11,100.0,18.67,18.04,1.03
2023010213,162.65,0.39,0.44,0.19,101.98,14.99,93.88,21.68,22.21,2.23
2023010214,337.5,0.39,0.44,0.17,102.01,15.4,84.51,23.86,25.3,2.48
2023010215,481.55,0.39,0.44,0.02,102.02,14.83,72.31,25.85,27.82,2.6
2023010216,569.08,0.39,0.43,0.01,101.98,14.23,64.45,27.1,29.2,2.66
2023010217,618.1,0.38,0.43,0.0,101.9,13.82,59.63,27.92,29.93,2.65
2023010218,593.6,0.38,0.42,0.0,101.82,13.49,56.77,28.34,30.0,2.63
2023010219,518.75,0.38,0.41,0.0,101.78,13.25,55.51,28.41,29.69,2.64
2023010220,369.08,0.38,0.41,0.0,101.76,12.96,55.74,27.96,28.23,2.72
2023010221,184.6,0.38,0.41,0.0,101.76,13.35,62.39,26.54,25.83,2.42
2023010222,21.85,0.38,0.41,0.02,101.78,13.49,75.57,23.5,22.28,1.95
2023010223,0.0,0.38,0.41,0.01,101.84,13.73,83.15,22.22,21.33,2.62
2023010300,0.0,0.38,0.41,0.0,101.89,14.29,91.28,21.35,20.51,2.56
2023010301,0.0,0.38,0.42,0.0,101.93,14.57,98.7,20.4,19.59,2.1
2023010302,0.0,0.38,0.42,0.02,101.96,14.62,100.0,19.64,18.81,1.8
2023010303,0.0,0.38,0.42,0.03,101.96,14.55,100.0,19.15,18.31,1.73
2023010304,0.0,0.38,0.42,0.04,101.94,14.39,100.0,18.79,17.94,1.73
2023010305,0.0,0.38,0.42,0.04,101.9,14.19,100.0,18.47,17.59,1.66
2023010306,0.0,0.38,0.42,0.03,101.88,13.98,100.0,18.14,17.25,1.53
2023010307,0.0,0.38,0.42,0.02,101.87,13.79,100.0,17.9,17.0,1.47
2023010308,0.0,0.38,0.42,0.01,101.85,13.63,100.0,17.79,16.91,1.53
2023010309,0.0,0.38,0.42,0.01,101.83,13.48,100.0,17.69,16.82,1.57
2023010310,0.0,0.38,0.42,0.01,101.84,13.32,100.0,17.57,16.7,1.55
2023010311,0.0,0.38,0.43,0.02,101.88,13.23,100.0,17.59,16.77,1.59
2023010312,20.3,0.38,0.43,0.0,101.9,13.34,100.0,18.43,18.1,1.96
2023010313,175.27,0.38,0.43,0.0,101.92,14.0,92.32,20.84,21.23,3.09
2023010314,355.9,0.38,0.43,0.0,101.93,14.46,82.71,23.17,24.25,3.49
2023010315,503.1,0.38,0.43,0.01,101.92,14.53,72.74,25.39,26.82,4.09
2023010316,495.17,0.38,0.42,0.03,101.85,14.56,66.54,26.92,28.78,4.25
2023010317,496.48,0.38,0.42,0.14,101.72,14.49,62.13,27.99,29.86,4.18
2023010318,464.05,0.38,0.41,0.34,101.61,14.35,59.53,28.54,30.11,3.95
2023010319,383.2,0.38,0.41,0.31,101.55,14.19,58.3,28.7,29.83,3.59
2023010320,266.92,0.38,0.4,0.06,101.51,14.0,58.92,28.28,28.49,3.05
2023010321,133.38,0.38,0.4,0.03,101.52,14.61,65.74,27.13,26.52,1.85
2023010322,17.52,0.38,0.41,0.01,101.54,14.64,76.72,24.56,23.3,0.98
2023010323,0.0,0.38,0.41,0.0,101.6,14.17,80.02,23.33,22.23,1.02
2023010400,0.0,0.38,0.41,0.0,101.65,14.32,84.1,22.69,21.76,1.13
2023010401,0.0,0.38,0.41,0.0,101.69,14.49,88.44,22.06,21.21,1.32
2023010402,0.0,0.38,0.41,0.0,101.72,14.67,94.11,21.25,20.4,1.41
2023010403,0.0,0.38,0.41,0.0,101.73,14.83,99.08,20.59,19.83,1.54
2023010404,0.0,0.38,0.41,0.02,101.71,14.97,100.0,20.13,19.43,1.67
2023010405,0.0,0.38,0.41,0.04,101.68,14.94,100.0,19.75,19.03,1.64
