datetime_utc,PRECTOTCORR,RH2M,T2M,WS2M
2024010100,0.0,73.92,14.63,1.06
2024010101,0.0,76.75,14.16,0.99
2024010102,0.0,79.87,13.65,0.85
2024010103,0.0,79.98,13.71,0.78
2024010104,0.0,82.98,13.24,0.74
2024010105,0.0,87.35,12.53,0.77
2024010106,0.02,94.89,11.33,0.85
2024010107,0.09,100.0,10.45,1.05
2024010108,0.13,100.0,9.61,1.1
2024010109,0.14,100.0,9.29,1.06
2024010110,0.14,100.0,9.06,1.03
2024010111,0.13,100.0,9.02,0.97
2024010112,0.11,100.0,9.58,0.77
2024010113,0.07,91.19,12.1,0.55
2024010114,0.02,82.3,14.58,0.39
2024010115,0.0,64.64,18.6,1.94
2024010116,0.0,60.11,20.11,2.25
2024010117,0.0,57.66,20.95,2.45
2024010118,0.0,55.75,21.5,2.59
2024010119,0.01,54.83,21.76,2.6
2024010120,0.01,55.69,21.33,2.46
2024010121,0.01,64.19,19.98,1.47
2024010122,0.0,70.52,17.81,1.1
2024010123,0.0,72.47,16.84,1.3
2024010200,0.0,75.32,16.4,1.41
2024010201,0.0,78.88,15.9,1.58
2024010202,0.0,83.54,15.23,1.61
2024010203,0.0,86.56,14.9,1.75
2024010204,0.0,89.87,14.49,1.82
2024010205,0.01,91.76,14.42,1.97
2024010206,0.07,95.63,14.09,1.74
2024010207,0.1,100.0,13.62,1.43
2024010208,0.1,100.0,13.29,1.23
2024010209,0.15,100.0,13.18,1.21
2024010210,0.15,100.0,13.11,1.32
2024010211,0.09,100.0,12.58,1.48
2024010212,0.0,100.0,12.08,1.92
2024010213,0.0,84.55,13.21,3.27
2024010214,0.0,65.65,14.34,3.36
2024010215,0.0,56.54,15.97,3.16
2024010216,0.0,48.92,17.61,3.16
2024010217,0.0,41.83,18.54,3.16
2024010218,0.0,37.59,18.83,2.93
2024010219,0.0,36.19,18.75,2.66
2024010220,0.0,36.17,18.25,2.39
2024010221,0.0,43.93,16.79,1.72
2024010222,0.0,59.47,12.83,1.09
2024010223,0.0,63.68,10.88,1.22
2024010300,0.0,70.19,10.09,1.29
2024010301,0.0,77.81,9.87,1.31
2024010302,0.0,84.48,9.87,1.35
2024010303,0.0,90.04,9.74,1.23
2024010304,0.0,93.32,9.54,1.05
2024010305,0.0,95.18,9.35,1.08
2024010306,0.0,96.12,9.22,1.16
2024010307,0.0,96.5,9.09,1.18
2024010308,0.0,96.86,8.94,1.08
2024010309,0.0,97.16,8.87,1.01
2024010310,0.0,98.01,8.81,0.94
2024010311,0.0,99.01,8.75,0.9
2024010312,0.05,98.57,8.95,0.89
2024010313,0.01,88.45,10.89,1.3
2024010314,0.0,83.06,12.26,0.85
2024010315,0.0,77.51,14.19,0.94
2024010316,0.0,68.86,17.13,2.01
2024010317,0.0,64.67,18.89,3.05
2024010318,0.0,63.66,19.39,3.35
2024010319,0.0,64.1,19.46,3.05
2024010320,0.0,65.71,19.5,2.35
2024010321,0.0,71.93,18.68,1.37
2024010322,0.0,79.01,16.23,1.16
2024010323,0.0,84.65,14.73,1.22
2024010400,0.0,88.9,13.98,1.25
2024010401,0.0,92.42,13.52,1.28
2024010402,0.0,96.06,13.26,1.38
2024010403,0.0,98.72,13.25,1.58
2024010404,0.03,100.0,13.39,1.8
2024010405,0.24,100.0,13.7,2.07
2024010406,0.42,100.0,14.25,2.46
2024010407,0.64,99.58,14.57,2.75
2024010408,0.8,100.0,14.49,2.56
2024010409,0.48,100.0,14.6,2.57
2024010410,0.39,100.0,14.57,2.24
2024010411,0.64,100.0,14.81,2.03
2024010412,0.56,100.0,15.9,2.03
2024010413,0.75,94.53,18.24,2.47
2024010414,0.48,89.32,19.87,2.97
2024010415,0.13,79.18,20.86,4.12
2024010416,0.02,71.86,21.03,4.36
2024010417,0.0,66.91,21.16,4.19
2024010418,0.0,64.16,21.07,3.95
2024010419,0.0,63.6,20.68,3.71
2024010420,0.0,64.98,19.86,3.51
2024010421,0.0,67.71,18.56,3.33
2024010422,0.0,76.18,16.04,2.33
2024010423,0.0,82.98,14.12,2.43
2024010500,0.0,85.66,13.02,2.64
2024010501,0.0,88.43,11.78,2.39
2024010502,0.0,90.87,10.66,2.12
2024010503,0.0,93.27,9.98,1.98
2024010504,0.0,94.94,9.88,2.04
2024010505,0.01,97.83,9.9,2.12
2024010506,0.02,100.0,9.97,2.1
2024010507,0.02,100.0,10.21,1.99
2024010508,0.01,100.0,10.62,1.81
2024010509,0.01,100.0,10.89,1.68
2024010510,0.0,100.0,11.29,1.7
2024010511,0.0,100.0,12.08,1.86
2024010512,0.0,94.47,13.29,2.09
2024010513,0.0,77.61,17.02,3.42
2024010514,0.0,67.99,19.69,3.69
2024010515,0.0,59.43,21.6,3.87
2024010516,0.0,56.83,22.65,3.76
2024010517,0.0,56.51,23.38,3.7
2024010518,0.0,57.43,23.66,3.67
2024010519,0.01,59.18,23.56,3.76
2024010520,0.01,62.37,22.93,3.93
2024010521,0.01,67.05,21.86,3.79
2024010522,0.0,73.23,20.26,3.53
2024010523,0.01,77.37,19.29,3.52
2024010600,0.01,80.63,18.77,3.4
2024010601,0.01,83.33,18.48,3.39
2024010602,0.01,86.12,18.31,3.38
2024010603,0.0,88.91,18.28,3.41
2024010604,0.01,91.95,18.31,3.44
2024010605,0.03,95.08,18.4,3.49
2024010606,0.03,96.21,18.88,4.01
2024010607,0.02,98.47,19.01,4.03
2024010608,0.04,99.82,18.9,3.87
2024010609,0.08,99.66,18.91,3.72
2024010610,0.09,99.35,18.94,3.44
2024010611,0.28,95.67,19.87,4.57
2024010612,32.25,95.84,20.09,4.73
2024010613,24.74,94.96,20.48,5.0
2024010614,8.88,93.6,21.37,6.02
2024010615,10.49,90.02,22.81,6.76
2024010616,13.19,82.28,24.32,7.11
2024010617,18.24,80.35,24.97,6.73
2024010618,35.84,81.5,25.2,6.1
2024010619,49.46,82.65,25.3,5.54
2024010620,35.14,84.4,25.25,5.01
2024010621,19.72,88.85,24.61,3.92
2024010622,7.17,95.21,23.07,2.84
2024010623,2.52,99.47,22.0,2.39
2024010700,3.82,100.0,21.45,2.24
2024010701,3.88,100.0,21.0,2.04
2024010702,4.3,100.0,20.35,1.74
2024010703,6.02,99.95,19.9,1.66
2024010704,7.14,99.37,19.58,1.63
2024010705,7.89,98.9,19.29,1.69
2024010706,6.93,98.19,19.06,1.86
2024010707,5.66,97.68,18.73,2.08
2024010708,4.28,97.19,18.4,2.48
2024010709,3.47,96.93,18.0,2.85
2024010710,2.85,96.36,17.59,3.17
2024010711,4.06,95.69,17.06,3.38
2024010712,3.96,94.45,16.56,3.55
2024010713,2.46,90.93,16.77,3.91
2024010714,2.01,82.36,17.27,4.0
2024010715,1.08,71.2,17.84,4.18
2024010716,0.31,62.13,18.37,4.19
2024010717,0.08,56.39,18.74,3.86
2024010718,0.05,52.17,19.34,3.39
2024010719,0.03,49.37,19.79,3.05
2024010720,0.0,49.41,19.78,2.81
2024010721,0.0,55.8,18.81,2.2
2024010722,0.0,69.71,16.12,1.25
2024010723,0.0,72.73,14.68,1.35
2024010800,0.0,74.88,13.95,1.48
2024010801,0.0,77.83,13.28,1.59
2024010802,0.0,80.98,12.72,1.75
2024010803,0.0,82.38,12.48,2.2
2024010804,0.06,84.56,12.08,2.7
2024010805,1.25,88.44,11.42,2.85
2024010806,1.86,91.71,10.91,2.99
2024010807,1.87,93.47,10.64,3.08
2024010808,1.61,94.39,10.55,3.06
2024010809,1.45,94.94,10.62,2.97
2024010810,0.71,95.33,10.86,2.68
2024010811,0.34,94.86,11.31,2.25
2024010812,0.02,93.36,12.18,2.05
2024010813,0.0,87.08,14.74,2.67
2024010814,0.0,82.99,16.83,2.72
2024010815,0.0,73.93,19.45,3.11
2024010816,0.01,64.92,21.37,3.67
2024010817,0.03,62.01,22.02,3.7
2024010818,0.06,61.32,22.22,3.72
2024010819,0.14,62.32,22.06,3.82
2024010820,0.61,65.82,21.51,3.59
2024010821,0.81,71.7,20.64,3.09
2024010822,0.26,77.38,19.48,2.95
2024010823,0.02,81.23,18.86,2.95
2024010900,0.02,83.9,18.5,2.75
2024010901,0.0,86.41,18.23,2.53
2024010902,0.0,88.93,17.98,2.51
2024010903,0.0,88.64,18.34,3.17
2024010904,0.0,89.16,18.69,3.84
2024010905,0.0,91.49,18.86,4.06
2024010906,0.02,94.68,19.0,3.98
2024010907,0.29,97.86,19.11,3.78
2024010908,1.03,98.57,19.44,3.78
2024010909,1.6,98.04,19.76,3.65
2024010910,2.02,97.94,19.91,3.49
2024010911,3.12,97.71,20.04,3.54
2024010912,3.09,97.02,20.37,3.83
2024010913,4.54,93.89,21.83,4.94
2024010914,3.73,89.07,23.5,6.29
2024010915,2.93,80.01,25.18,7.3
2024010916,2.58,72.61,26.29,7.84
2024010917,2.46,69.55,26.81,7.95
2024010918,0.51,68.58,26.83,8.1
2024010919,0.13,70.28,26.2,7.97
2024010920,0.28,73.3,25.55,7.77
2024010921,1.08,77.09,24.7,7.41
2024010922,2.35,81.93,23.73,7.04
