iter	Passed	Remaining
0	139	697427
1	144	360645
2	149	249202
3	154	192539
4	158	158680
5	164	136626
6	168	120543
7	173	108325
8	179	99465
9	183	91814
10	188	85568
11	193	80577
12	198	76210
13	203	72485
14	208	69216
15	213	66594
16	218	64036
17	223	61738
18	228	59833
19	232	57989
20	237	56360
21	243	55012
22	248	53736
23	253	52552
24	258	51486
25	263	50452
26	268	49423
27	273	48485
28	277	47638
29	282	46809
30	287	46110
31	292	45453
32	297	44764
33	302	44175
34	307	43604
35	312	43034
36	317	42618
37	323	42277
38	328	41831
39	333	41366
40	338	40914
41	344	40613
42	348	40208
43	353	39806
44	358	39459
45	363	39129
46	368	38796
47	373	38562
48	378	38266
49	383	37958
50	388	37692
51	393	37440
52	398	37159
53	402	36887
54	407	36672
55	413	36492
56	418	36266
57	423	36075
58	428	35854
59	432	35626
60	438	35477
61	442	35272
62	447	35072
63	452	34925
64	457	34745
65	462	34557
66	467	34430
67	472	34255
68	476	34085
69	482	33960
70	487	33814
71	491	33639
72	496	33522
73	501	33410
74	506	33262
75	511	33119
76	515	32989
77	520	32865
78	525	32738
79	530	32602
80	535	32531
81	540	32392
82	545	32290
83	550	32206
84	555	32095
85	560	32013
86	565	31935
87	571	31875
88	577	31875
89	584	31885
90	589	31822
91	595	31772
92	601	31711
93	606	31638
94	611	31563
95	617	31529
96	622	31455
97	627	31368
98	634	31408
99	639	31327
100	643	31231
101	649	31189
102	654	31118
103	662	31169
104	667	31103
105	672	31036
106	676	30955
107	682	30913
108	687	30831
109	692	30776
110	697	30732
111	702	30667
112	707	30594
113	712	30555
114	717	30492
115	722	30430
116	728	30386
117	733	30327
118	737	30261
119	742	30205
120	747	30149
121	752	30095
122	757	30027
123	762	29983
124	767	29928
125	772	29867
126	777	29827
127	782	29772
128	786	29710
129	791	29661
130	796	29603
131	801	29540
132	805	29482
133	810	29441
134	815	29388
135	820	29327
136	824	29283
137	829	29232
138	834	29181
139	839	29132
140	844	29086
141	848	29034
142	853	28983
143	858	28950
144	863	28897
145	867	28836
146	872	28801
147	877	28758
148	881	28709
149	886	28660
150	891	28639
151	896	28596
152	901	28549
153	906	28536
154	911	28492
155	916	28447
